freq,CPIAUCSL,EXUSUK,FEDFUNDS,GS1,GS10,INDPRO,PCEPI,TB3MS,UNRATE,WPU0561,PAYEMS,DJIA
1/1/55,26.77,,1.39,1.39,2.61,19.9437,,1.22,4.9,12.6,49497,
1/2/55,26.82,,1.29,1.57,2.65,20.1941,,1.17,4.7,12.6,49644,
1/3/55,26.79,,1.35,1.59,2.68,20.6669,,1.28,4.6,12.6,49963,
1/4/55,26.79,,1.43,1.75,2.75,20.9173,,1.59,4.7,12.6,50247,
1/5/55,26.77,,1.43,1.9,2.76,21.251,,1.45,4.3,12.6,50512,
1/6/55,26.71,,1.64,1.91,2.78,21.2789,,1.41,4.2,12.6,50790,
1/7/55,26.76,,1.68,2.02,2.9,21.4458,,1.6,4,12.6,50985,
1/8/55,26.72,,1.96,2.37,2.97,21.4179,,1.9,4.2,12.6,51111,
1/9/55,26.85,,2.18,2.36,2.97,21.557,,2.07,4.1,12.6,51262,
1/10/55,26.82,,2.24,2.39,2.88,21.9186,,2.23,4.3,12.6,51431,
1/11/55,26.88,,2.35,2.48,2.89,21.9742,,2.24,4.2,12.6,51592,
1/12/55,26.87,,2.48,2.73,2.96,22.0577,,2.54,4.2,12.6,51805,
1/1/56,26.83,,2.45,2.58,2.9,22.1968,,2.41,4,12.6,51975,
1/2/56,26.86,,2.5,2.49,2.84,22.0021,,2.32,3.9,12.6,52167,
1/3/56,26.89,,2.5,2.61,2.96,22.0021,,2.25,4.2,12.6,52295,
1/4/56,26.93,,2.62,2.92,3.18,22.169,,2.6,4,12.6,52375,
1/5/56,27.03,,2.75,2.94,3.07,21.9743,,2.61,4.3,12.6,52506,
1/6/56,27.15,,2.71,2.74,3,21.7796,,2.49,4.3,12.7,52584,
1/7/56,27.29,,2.75,2.76,3.11,21.112,,2.31,4.4,12.7,51954,
1/8/56,27.31,,2.73,3.1,3.33,21.9742,,2.6,4.1,12.7,52630,
1/9/56,27.35,,2.95,3.35,3.38,22.4749,,2.84,3.9,12.7,52601,
1/10/56,27.51,,2.96,3.28,3.34,22.6696,,2.9,3.9,12.7,52781,
1/11/56,27.51,,2.88,3.44,3.49,22.4749,,2.99,4.3,12.7,52822,
1/12/56,27.63,,2.94,3.68,3.59,22.8087,,3.21,4.2,12.8,52930,
1/1/57,27.67,,2.84,3.37,3.46,22.7253,,3.11,4.2,13.2,52888,
1/2/57,27.8,,3,3.38,3.34,22.9478,,3.1,3.9,14,53097,
1/3/57,27.86,,2.96,3.42,3.41,22.92,,3.08,3.7,14,53157,
1/4/57,27.93,,3,3.49,3.48,22.614,,3.07,3.9,14,53238,
1/5/57,28,,3,3.48,3.6,22.5306,,3.06,4.1,14,53149,
1/6/57,28.11,,3,3.65,3.8,22.5862,,3.29,4.3,14,53066,
1/7/57,28.19,,2.99,3.81,3.93,22.7253,,3.16,4.2,14,53123,
1/8/57,28.28,,3.24,4.01,3.93,22.7253,,3.37,4.1,14,53126,
1/9/57,28.32,,3.47,4.07,3.92,22.5306,,3.53,4.4,14,52932,
1/10/57,28.32,,3.5,4.01,3.97,22.1968,,3.58,4.5,14,52765,
1/11/57,28.41,,3.28,3.57,3.72,21.6683,,3.31,5.1,14,52559,
1/12/57,28.47,,2.98,3.18,3.21,21.251,,3.04,5.2,14,52385,
1/1/58,28.64,,2.72,2.65,3.09,20.8616,,2.44,5.8,14,52077,
1/2/58,28.7,,1.67,1.99,3.05,20.4166,,1.53,6.4,14,51576,
1/3/58,28.87,,1.2,1.84,2.98,20.1662,,1.3,6.7,14,51300,
1/4/58,28.94,,1.26,1.45,2.88,19.8325,,1.13,7.4,14,51027,
1/5/58,28.94,,0.63,1.37,2.92,20.0272,,0.91,7.4,14,50913,
1/6/58,28.91,,0.93,1.23,2.97,20.5557,,0.83,7.3,14,50912,
1/7/58,28.89,,0.68,1.61,3.2,20.8616,,0.91,7.5,13.9,51037,
1/8/58,28.94,,1.53,2.5,3.54,21.2789,,1.69,7.4,13.9,51231,
1/9/58,28.91,,1.76,3.05,3.76,21.4736,,2.44,7.1,13.9,51506,
1/10/58,28.91,,1.8,3.19,3.8,21.7239,,2.63,6.7,13.9,51486,
1/11/58,28.95,,2.27,3.1,3.74,22.3637,,2.67,6.2,13.9,51944,
1/12/58,28.97,,2.42,3.29,3.86,22.3915,,2.77,6.2,13.9,52088,
1/1/59,29.01,2.80647,2.48,3.36,4.02,22.7253,17.124,2.82,6,13.7,52480,592.29
1/2/59,29,2.80934,2.43,3.54,3.96,23.1703,17.138,2.7,5.9,13.5,52687,590.72
1/3/59,28.97,2.81271,2.8,3.61,3.99,23.5041,17.149,2.8,5.6,13.5,53016,609.1201
1/4/59,28.98,2.81653,2.96,3.72,4.12,24.0048,17.183,2.95,5.2,13.6,53320,616.99
1/5/59,29.04,2.81454,2.9,3.96,4.31,24.3664,17.191,2.84,5.1,13.6,53549,630.8
1/6/59,29.11,2.81254,3.39,4.07,4.34,24.3942,17.24,3.21,5,13.6,53679,631.51
1/7/59,29.15,2.81165,3.47,4.39,4.4,23.8101,17.275,3.2,5.1,13.6,53803,662.8101
1/8/59,29.18,2.8095,3.5,4.42,4.43,23.0034,17.3,3.38,5.2,13.6,53334,660.5801
1/9/59,29.25,2.8037,3.76,5,4.68,22.9756,17.345,4.04,5.5,13.4,53429,635.47
1/10/59,29.35,2.80626,3.98,4.8,4.53,22.8087,17.387,4.05,5.7,13.4,53359,637.3401
1/11/59,29.35,2.80268,4,4.81,4.53,22.9478,17.398,4.15,5.8,13.4,53635,646.4299
1/12/59,29.41,2.79845,3.99,5.14,4.69,24.3664,17.418,4.49,5.3,13.4,54175,671.3501
1/1/60,29.37,2.79976,3.99,5.03,4.72,25.0061,17.41,4.35,5.2,13.4,54274,655.3899
1/2/60,29.41,2.80329,3.97,4.66,4.49,24.7836,17.427,3.96,4.8,13.4,54513,624.8799
1/3/60,29.41,2.80586,3.84,4.02,4.25,24.5611,17.437,3.31,5.4,13.4,54458,614.7
1/4/60,29.54,2.8095,3.92,4.04,4.28,24.3664,17.501,3.23,5.2,13.4,54812,619.98
1/5/60,29.57,2.80601,3.85,4.21,4.35,24.3386,17.519,3.29,5.1,13.4,54473,615.6399
1/6/60,29.61,2.80268,3.32,3.36,4.15,24.0326,17.527,2.46,5.4,13.4,54347,644.3799
1/7/60,29.55,2.80842,3.23,3.2,3.9,23.9492,17.559,2.3,5.5,13.4,54304,625.8301
1/8/60,29.61,2.81024,2.98,2.95,3.8,23.9213,17.589,2.3,5.6,13.4,54271,624.47
1/9/60,29.61,2.81271,2.6,3.07,3.8,23.671,17.6,2.48,5.5,13.4,54228,598.1001
1/10/60,29.75,2.81158,2.47,3.04,3.89,23.6432,17.62,2.3,6.1,13.4,54144,582.45
1/11/60,29.78,2.81352,2.44,3.08,3.93,23.3094,17.68,2.37,6.1,13.4,53962,601.1399
1/12/60,29.81,2.80737,1.98,2.86,3.84,22.8643,17.684,2.25,6.6,13.4,53744,609.54
1/1/61,29.84,2.8064,1.45,2.81,3.84,22.8922,17.686,2.24,6.6,13.4,53683,632.2
1/2/61,29.84,2.7999,2.54,2.93,3.78,22.8643,17.703,2.42,6.9,13.4,53556,650.01
1/3/61,29.84,2.7975,2.02,2.88,3.74,23.0034,17.693,2.39,6.9,13.4,53662,670.5601
1/4/61,29.81,2.7981,1.49,2.88,3.78,23.4763,17.683,2.29,7,13.5,53626,684.8999
1/5/61,29.84,2.794,1.98,2.87,3.71,23.8379,17.693,2.29,7.1,13.5,53785,693.03
1/6/61,29.84,2.7898,1.73,3.06,3.88,24.1717,17.702,2.33,6.9,13.5,53977,691.4399
1/7/61,29.92,2.7874,1.17,2.92,3.92,24.4498,17.74,2.24,7,13.5,54123,690.6599
1/8/61,29.94,2.8029,2,3.06,4.04,24.6723,17.755,2.39,6.6,13.5,54298,718.6399
1/9/61,29.98,2.8122,1.88,3.06,3.98,24.6446,17.776,2.28,6.7,13.5,54388,711.02
1/10/61,29.98,2.8154,2.26,3.05,3.92,25.1174,17.774,2.3,6.5,13.5,54522,703.01
1/11/61,29.98,2.8149,2.61,3.07,3.94,25.5068,17.776,2.48,6.1,13.5,54743,724.74
1/12/61,30.01,2.8096,2.33,3.18,4.06,25.7293,17.781,2.6,6,13.5,54871,728.4399
1/1/62,30.04,2.811,2.15,3.28,4.08,25.5068,17.816,2.72,5.8,13.5,54891,705.1599
1/2/62,30.11,2.8146,2.37,3.28,4.04,25.924,17.864,2.73,5.5,13.5,55187,711.95
1/3/62,30.17,2.8153,2.85,3.06,3.93,26.0631,17.887,2.72,5.6,13.5,55276,714.21
1/4/62,30.21,2.814,2.78,2.99,3.84,26.1188,17.907,2.73,5.6,13.5,55602,690.28
1/5/62,30.24,2.8121,2.36,3.03,3.87,26.0909,17.918,2.69,5.5,13.5,55627,643.71
1/6/62,30.21,2.8083,2.68,3.03,3.91,26.0353,17.929,2.73,5.5,13.5,55644,572.6399
