freq,GDPC1,JAPAN_IP,PCECTPI,CPIAUCSL
1/1/55,2683.766,,15.755,26.79333333
1/4/55,2727.452,,15.771,26.75666667
1/7/55,2764.128,,15.834,26.77666667
1/10/55,2780.762,,15.878,26.85666667
1/1/56,2770.032,,15.943,26.86
1/4/56,2792.872,,16.051,27.03666667
1/7/56,2790.588,,16.208,27.31666667
1/10/56,2836.238,,16.303,27.55
1/1/57,2854.517,,16.45,27.77666667
1/4/57,2848.186,,16.554,28.01333333
1/7/57,2875.927,,16.687,28.26333333
1/10/57,2846.446,,16.773,28.4
1/1/58,2772.654,,16.979,28.73666667
1/4/58,2790.948,,17.009,28.93
1/7/58,2855.472,,17.023,28.91333333
1/10/58,2922.264,,17.018,28.94333333
1/1/59,2976.629,,17.137,28.99333333
1/4/59,3049.011,,17.204,29.04333333
1/7/59,3043.139,,17.307,29.19333333
1/10/59,3055.104,,17.401,29.37
1/1/60,3123.162,12.18443467,17.424,29.39666667
1/4/60,3111.31,12.67618315,17.516,29.57333333
1/7/60,3119.057,13.22257036,17.583,29.59
1/10/60,3081.3,13.85091565,17.661,29.78
1/1/61,3102.251,14.61585773,17.694,29.84
1/4/61,3159.918,15.1895643,17.692,29.83
1/7/61,3212.606,15.8725483,17.757,29.94666667
1/10/61,3277.717,16.41893551,17.777,29.99
1/1/62,3336.753,16.96532271,17.856,30.10666667
1/4/62,3372.706,16.96532271,17.918,30.22
1/7/62,3404.833,16.69212911,17.965,30.30666667
1/10/62,3418.046,16.58285167,18.018,30.38
1/1/63,3456.08,17.23851632,18.069,30.47666667
1/4/63,3501.134,18.22201329,18.095,30.53333333
1/7/63,3569.479,19.17819089,18.181,30.72
1/10/63,3594.954,20.16168786,18.249,30.80333333
1/1/64,3672.708,20.81735251,18.336,30.93
1/4/64,3716.382,21.44569779,18.378,30.98
1/7/64,3766.862,22.01940436,18.44,31.05
1/10/64,3780.219,22.4018754,18.503,31.19333333
1/1/65,3873.452,22.4018754,18.562,31.29
1/4/65,3926.406,22.21063988,18.655,31.49
1/7/65,4006.152,22.45651412,18.725,31.58333333
1/10/65,4100.631,22.81166581,18.782,31.75
1/1/66,4201.891,23.54928853,18.928,32.04666667
1/4/66,4219.097,24.8059791,19.083,32.33666667
1/7/66,4249.152,25.9807116,19.23,32.61666667
1/10/66,4285.582,27.45595705,19.379,32.88333333
1/1/67,4324.926,28.27553786,19.436,32.96666667
1/4/67,4328.72,29.53222843,19.528,33.16666667
1/7/67,4366.088,31.03479324,19.708,33.5
1/10/67,4401.233,32.67395486,19.877,33.86666667
1/1/68,4490.609,33.41157758,20.087,34.2
1/4/68,4566.442,34.44971327,20.291,34.53333333
1/7/68,4599.332,35.37857152,20.502,35
1/10/68,4619.803,37.07237186,20.729,35.43333333
1/1/69,4691.637,38.19246563,20.933,35.86666667
1/4/69,4706.684,39.9955434,21.201,36.43333333
1/7/69,4736.143,41.17027589,21.462,36.93333333
1/10/69,4715.469,43.30118599,21.71,37.5
1/1/70,4707.112,44.85838953,21.962,38.1
1/4/70,4715.441,46.2516769,22.205,38.63333333
1/7/70,4757.213,46.82538346,22.421,39.03333333
1/10/70,4708.281,47.04393835,22.712,39.6
1/1/71,4834.349,47.45372875,22.927,39.93333333
1/4/71,4861.938,46.96198027,23.189,40.3
1/7/71,4899.95,47.69960299,23.417,40.7
1/10/71,4914.261,47.80888043,23.563,41
1/1/72,5002.436,48.76505804,23.812,41.33333333
1/4/72,5118.278,49.83051309,23.95,41.6
1/7/72,5165.448,51.22380046,24.161,41.93333333
1/10/72,5251.226,53.70986225,24.358,42.36666667
1/1/73,5380.502,56.93354676,24.652,43.03333333
1/4/73,5441.504,58.10827925,25.127,43.93333333
1/7/73,5411.935,58.90054069,25.584,44.8
1/10/73,5462.397,60.1299119,26.108,45.93333333
1/1/74,5417.024,60.07527318,26.884,47.3
1/4/74,5431.265,57.4526146,27.645,48.56666667
1/7/74,5378.679,55.15778834,28.392,49.93333333
1/10/74,5357.166,52.42585232,29.114,51.46666667
